Trial_actual,Sex,Fish ID,TL (cm),SVL (cm),BD (cm),photo_measured,Datasheet,population
1,Female,T01F1,93.5,38.4,3.2,start_2,MesocosmMeasurements,MA
1,Female,T01F2,101.8,40.2,4.6,start_1,MesocosmMeasurements,MA
1,Female,T01F3,100.6,39.3,4,start_1,MesocosmMeasurements,MA
1,Female,T01F4,100.5,41.6,4.7,start_2,MesocosmMeasurements,MA
1,Female,T01F5,87.8,37.4,3.1,start_2,MesocosmMeasurements,PP
1,Female,T01F6,115.2,55.5,6.6,start_2,MesocosmMeasurements,PP
1,Female,T01F7,95.3,44.6,4,start_1,MesocosmMeasurements,PP
1,Female,T01F8,97.1,42.3,4,start_1,MesocosmMeasurements,PP
1,Male,T01M05,104.797,44.276,2.206,start1,phenotype_data,MA
1,Male,T01M06,111.142,2.389,47.45,start1,phenotype_data,MA
1,Male,T01M07,93.08,37.877,2.29,start4,phenotype_data,MA
1,Male,T01M08,91.111,33.779,2.179,start3,phenotype_data,MA
1,Male,T01M01,99.502,38.937,2.458,start2,phenotype_data,PP
1,Male,T01M02,100.135,40.281,2.265,start3,phenotype_data,PP
1,Male,T01M03,80.773,31.824,1.974,start2,phenotype_data,PP
1,Male,T01M04,99.218,46.736,2.899,start1,phenotype_data,PP
2,Female,T2F1,89.8,32.8,3.1,start_2,MesocosmMeasurements,MA
2,Female,T2F2,96.6,38.4,4.3,start_2,MesocosmMeasurements,MA
2,Female,T2F3,110,42.5,4.5,start_1,MesocosmMeasurements,PP
2,Female,T2F4,116.6,49.1,6.4,start_2,MesocosmMeasurements,PP
2,Female,T2F5,93.8,37.9,3.8,start_1,MesocosmMeasurements,PP
2,Female,T2F6,97.3,39.8,4.5,start_2,MesocosmMeasurements,PP
2,Female,T2F7,101.9,40.2,3.7,start_2,MesocosmMeasurements,PP
2,Female,T2F8,100.5,40.2,3.6,start_1,MesocosmMeasurements,PP
2,Male,T02M05,105.425,39.284,2.458,start4,phenotype_data,MA
2,Male,T02M06,89.917,40.075,2.2,start3,phenotype_data,MA
2,Male,T02M07,94.246,39.225,2.163,start1,phenotype_data,MA
2,Male,T02M01,85.724,36.954,1.932,start3,phenotype_data,PP
2,Male,T02M02,89.039,37.214,1.757,start3,phenotype_data,PP
2,Male,T02M03,91.428,33.092,2.29,start1,phenotype_data,PP
2,Male,T02M04,85.581,34.112,2.1,start2,phenotype_data,PP
2,Male,T04M04,92.368,36.67,1.93,start4,phenotype_data,PP
3,Female,T03F5,95,NA,3,start_2,MesocosmMeasurements,MA
3,Female,T03F6,105.2,NA,5.7,start_2,MesocosmMeasurements,MA
3,Female,T03F7,120.1,NA,5.5,start_2,MesocosmMeasurements,MA
3,Female,T03F8,90.4,NA,2.9,start_2,MesocosmMeasurements,MA
3,Female,T03F1,95.5,NA,3.5,start_2,MesocosmMeasurements,PP
3,Female,T03F2,121.4,NA,7.7,start_2,MesocosmMeasurements,PP
3,Female,T03F3,109.7,NA,5.2,start_1,MesocosmMeasurements,PP
3,Female,T03F4,94.6,NA,3.6,start_2,MesocosmMeasurements,PP
3,Male,T03M05,85.963,33.164,2.136,start2,phenotype_data,MA
3,Male,T03M06,86.146,34.662,2.193,start2,phenotype_data,MA
3,Male,T03M07,88.268,34.245,1.924,start2,phenotype_data,MA
3,Male,T03M08,88.474,36.357,2.304,start2,phenotype_data,MA
3,Male,T03M01,84.057,34.783,1.668,start1,phenotype_data,PP
3,Male,T03M02,102.179,43.093,2.404,start2,phenotype_data,PP
3,Male,T03M03,93.261,35.828,2.294,start2,phenotype_data,PP
3,Male,T03M04,95.845,38.48,2.331,start2,phenotype_data,PP
4,Female,T04F5,99.5,NA,5.8,start_2,MesocosmMeasurements,MA
4,Female,T04F7,92.6,NA,3.4,start_2,MesocosmMeasurements,MA
4,Female,T04F8,95.4,NA,3.3,start_2,MesocosmMeasurements,MA
4,Female,T04F1,104,NA,5.9,start_2,MesocosmMeasurements,PP
4,Female,T04F2,89.9,NA,3.3,start_2,MesocosmMeasurements,PP
4,Female,T04F3,86.8,NA,3.4,start_2,MesocosmMeasurements,PP
4,Female,T04F4,100.5,NA,4.3,start_2,MesocosmMeasurements,PP
4,Female,T04F06,123.858,56.675,8.457,PXL_20210128_232239175.MP,phenotype_data,MA
4,Male,T04M05,92.13,39.75,2.02,start4,phenotype_data,MA
4,Male,T04M06,85.696,31.887,1.96,start3,phenotype_data,MA
4,Male,T05M03,100.722,39.364,2.658,start3,phenotype_data,MA
4,Male,T06M05,89.997,33.236,2.269,start3,phenotype_data,MA
4,Male,T04M01,85.126,41.049,2.224,start2,phenotype_data,PP
4,Male,T04M02,85.544,35.923,1.766,start2,phenotype_data,PP
4,Male,T04M03,111.222,47.095,2.301,start3,phenotype_data,PP
4,Male,T05M07,90.88,37.734,2.497,start1,phenotype_data,PP
5,Female,T05F1,104.5,NA,5.4,start2,MesocosmMeasurements,MA
5,Female,T05F2,96,NA,4.6,start2,MesocosmMeasurements,MA
5,Female,T05F3,99.8,NA,4.2,start2,MesocosmMeasurements,MA
5,Female,T05F4,113.2,NA,6.1,start2,MesocosmMeasurements,PP
5,Female,T05F5,99.2,NA,3.6,start2,MesocosmMeasurements,PP
5,Female,T05F6,94.2,NA,2.8,start3,MesocosmMeasurements,PP
5,Female,T05F7,96.6,NA,3.4,start2,MesocosmMeasurements,PP
5,Female,T05F8,99.1,NA,4.7,start3,MesocosmMeasurements,PP
5,Male,T05M01,92.751,36.675,1.916,start1,phenotype_data,MA
5,Male,T05M11,86.505,34.526,1.924,T05M10_start4,phenotype_data,MA
5,Male,T05M12,88.146,33.607,1.843,T05M10_start5,phenotype_data,MA
5,Male,T05M14,101.071,45.987,2.506,start1,phenotype_data,MA
5,Male,T05M06,96.208,34.599,2.35,start1,phenotype_data,PP
5,Male,T05M09,103.335,41.045,2.5665,start1,phenotype_data,PP
5,Male,T05M10,86.08,31.979,2.029,start1,phenotype_data,PP
5,Male,T05M13,96.061,36.228,2.004,start2,phenotype_data,PP
6,Female,T06F07,93.2,NA,3.4,start1,MesocosmMeasurements,MA
6,Female,T06F08,103.3,NA,4,start2,MesocosmMeasurements,MA
6,Female,T06F10,83.2,NA,2.5,start1,MesocosmMeasurements,MA
6,Female,T06F02,112.4,NA,5.5,start2,MesocosmMeasurements,PP
6,Female,T06F03,119.4,NA,5.4,start1,MesocosmMeasurements,PP
6,Female,T06F04,99.1,NA,3.8,1,MesocosmMeasurements,PP
6,Female,T06F05,103.1,NA,4.4,start2,MesocosmMeasurements,PP
6,Female,T06F09,114.2,NA,6.7,start1,MesocosmMeasurements,PP
6,Male,T06M09,94.05,36.62,2.164,start2,phenotype_data,MA
6,Male,T06M10,85.094,32.239,1.646,start1,phenotype_data,MA
6,Male,T06M11,95.901,38.556,2.291,start1,phenotype_data,MA
6,Male,T06M12,89.593,35.011,2.128,start1,phenotype_data,MA
6,Male,T06M13,82.942,31.348,1.97,start1,phenotype_data,PP
6,Male,T06M14,87.458,35.813,2.055,start1,phenotype_data,PP
6,Male,T06M15,90.482,35.743,1.99,start1,phenotype_data,PP
6,Male,T06M16,98.196,37.265,2.199,start1,phenotype_data,PP
7,Female,T07F05,91.6,NA,3,start1,MesocosmMeasurements,MA
7,Female,T07F06,83.9,NA,2.7,start1,MesocosmMeasurements,MA
7,Female,T07F07,93.7,NA,2.6,start1,MesocosmMeasurements,MA
7,Female,T07F08,97.1,NA,3.9,start1,MesocosmMeasurements,MA
7,Female,T07F01,122.2,NA,5.6,start1,MesocosmMeasurements,PP
7,Female,T07F02,108.1,NA,5.3,start1,MesocosmMeasurements,PP
7,Female,T07F03,113.4,NA,5.2,start1,MesocosmMeasurements,PP
7,Female,T07F04,114.1,NA,6.2,start1,MesocosmMeasurements,PP
7,Male,T07M05,100.681,41.353,2.159,start2,phenotype_data,MA
7,Male,T07M06,104.449,40.799,2.72,start1,phenotype_data,MA
7,Male,T07M07,93.336,39.2,2.363,start2,phenotype_data,MA
7,Male,T07M08,100.952,37.171,2.312,start2,phenotype_data,MA
7,Male,T07M01,83.76,30.35,1.676,start1,phenotype_data,PP
7,Male,T07M02,90.422,33.648,1.829,start1,phenotype_data,PP
7,Male,T07M03,88.903,36.72,1.792,start2,phenotype_data,PP
7,Male,T07M04,77.521,29.565,1.795,start1,phenotype_data,PP
8,Female,T08F05,105.9,NA,5.1,start1,MesocosmMeasurements,MA
8,Female,T08F06,112.3,NA,5.5,start1,MesocosmMeasurements,MA
8,Female,T08F07,112.8,NA,5.4,start1,MesocosmMeasurements,MA
8,Female,T08F08,113.7,NA,5.6,start3,MesocosmMeasurements,MA
8,Female,T08F01,91.4,NA,2.9,start1,MesocosmMeasurements,PP
8,Female,T08F02,88,NA,3.5,start1,MesocosmMeasurements,PP
8,Female,T08F03,102.3,NA,3.2,start1,MesocosmMeasurements,PP
8,Female,T08F04,104.5,NA,4.3,start1,MesocosmMeasurements,PP
8,Male,T08M05,83.407,29.698,1.981,start2,phenotype_data,MA
8,Male,T08M06,78.225,31.862,1.733,start1,phenotype_data,MA
8,Male,T08M07,78.419,30.127,1.631,start1,phenotype_data,MA
8,Male,T08M08,79.103,29.296,NA,start2,phenotype_data,MA
8,Male,T08M01,105.131,40.749,2.78,start2,phenotype_data,PP
8,Male,T08M02,106.4,41.899,2.39,start2,phenotype_data,PP
8,Male,T08M03,117.507,44.013,2.77,start2,phenotype_data,PP
8,Male,T08M04,95.49,35.32,1.775,start1,phenotype_data,PP
9,Female,T09F01,94.8,NA,3.6,start1,MesocosmMeasurements,MA
9,Female,T09F02,100.8,NA,4,start1,MesocosmMeasurements,MA
9,Female,T09F03,98.7,NA,3.9,start1,MesocosmMeasurements,MA
9,Female,T09F04,96,NA,4.2,start1,MesocosmMeasurements,MA
9,Female,T09F05,116.4,NA,5.6,start1,MesocosmMeasurements,PP
9,Female,T09F06,99.2,NA,4.8,start1,MesocosmMeasurements,PP
9,Female,T09F07,109,NA,5.2,start1,MesocosmMeasurements,PP
9,Female,T09F08,103.2,NA,5.5,start1,MesocosmMeasurements,PP
9,Male,T09M01,96.465,37.236,2.138,start1,phenotype_data,MA
9,Male,T09M02,84.623,30.236,2.022,start1,phenotype_data,MA
9,Male,T09M03,94.474,37.942,2.647,start1,phenotype_data,MA
9,Male,T09M04,91.885,34.831,2.208,start1,phenotype_data,MA
9,Male,T09M05,104.532,38.997,2.385,start1,phenotype_data,PP
9,Male,T09M06,89.268,33.07,2.148,start1,phenotype_data,PP
9,Male,T09M07,102.811,44.446,2.633,start1,phenotype_data,PP
9,Male,T09M08,84.767,31.945,2.007,start1,phenotype_data,PP
10,Female,T10F01,94.4,NA,3.6,start2,MesocosmMeasurements,MA
10,Female,T10F02,94.7,NA,4.3,start1,MesocosmMeasurements,MA
10,Female,T10F03,96.4,NA,3.8,start1,MesocosmMeasurements,MA
10,Female,T10F04,102.8,NA,3.6,start1,MesocosmMeasurements,MA
10,Female,T10F05,109.2,NA,5.1,start1,MesocosmMeasurements,PP
10,Female,T10F06,101.6,NA,4.2,start1,MesocosmMeasurements,PP
10,Female,T10F07,108,NA,4.7,start1,MesocosmMeasurements,PP
10,Female,T10F08,113.5,NA,5,start1,MesocosmMeasurements,PP
10,Male,T10M01,101.025,39.051,1.997,start1,phenotype_data,MA
10,Male,T10M02,92.986,35.244,2.197,start1,phenotype_data,MA
10,Male,T10M03,103.442,40.467,2.201,start1,phenotype_data,MA
10,Male,T10M04,94.343,35.662,2.111,start1,phenotype_data,MA
10,Male,T10M05,105.312,42.124,2.589,start1,phenotype_data,PP
10,Male,T10M06,102.667,38.597,2.436,start1,phenotype_data,PP
10,Male,T10M07,93.492,34.475,1.96,start1,phenotype_data,PP
10,Male,T10M08,93.065,39.904,2.317,start2,phenotype_data,PP
NA,Male,T05M08,101.894,39.705,2.262,start1,phenotype_data,PP
NA,Male,T06M06,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T06M07,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T06M08,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T06M01,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T06M02,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T06M03,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T06M04,NA,NA,NA,NA,phenotype_data,PP
NA,Female,T06F06,92.4,NA,5.1,start2,MesocosmMeasurements,MA
NA,Female,T06F01,106.1,NA,4.7,start2,MesocosmMeasurements,PP
NA,Male,T05M02,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T05M04,NA,NA,NA,NA,phenotype_data,MA
NA,Male,T05M05,NA,NA,NA,NA,phenotype_data,PP
NA,Male,T02M08,97.361,42.053,2.524,start3,phenotype_data,MA
NA,Male,T04M07,96.272,34.556,1.877,start2,phenotype_data,MA
NA,Male,T04M08,82.458,32.918,1.908,start3,phenotype_data,MA
